origin,destination,distance,duration
Los Angeles,Bozeman,"1,762 km",16 hours 3 mins
Baltimore,Milwaukee,"1,275 km",12 hours 2 mins
Baltimore,Milwaukee,"1,275 km",12 hours 2 mins
Milwaukee,Baltimore,"1,277 km",12 hours 8 mins
Milwaukee,Baltimore,"1,277 km",12 hours 8 mins
Punta Gorda,Plattsburgh,"2,451 km",22 hours 22 mins
Punta Gorda,Plattsburgh,"2,451 km",22 hours 22 mins
Plattsburgh,Punta Gorda,"2,460 km",22 hours 26 mins
Plattsburgh,Punta Gorda,"2,460 km",22 hours 26 mins
Appleton,Denver,"1,714 km",15 hours 37 mins
Appleton,Denver,"1,714 km",15 hours 37 mins
Denver,Appleton,"1,728 km",15 hours 36 mins
Denver,Appleton,"1,728 km",15 hours 36 mins
Little Rock,Phoenix,"2,087 km",18 hours 54 mins
Little Rock,Phoenix,"2,087 km",18 hours 54 mins
Phoenix,Little Rock,"2,090 km",18 hours 51 mins
Phoenix,Little Rock,"2,090 km",18 hours 51 mins
Savannah,Newark,"1,275 km",11 hours 47 mins
Savannah,Newark,"1,275 km",11 hours 47 mins
Newark,Savannah,"1,284 km",11 hours 52 mins
Newark,Savannah,"1,284 km",11 hours 52 mins
Dallas,Tallahassee,"1,338 km",12 hours 22 mins
Dallas,Tallahassee,"1,338 km",12 hours 22 mins
Tallahassee,Dallas,"1,346 km",12 hours 22 mins
Tallahassee,Dallas,"1,346 km",12 hours 22 mins
Myrtle Beach,Syracuse,"1,280 km",12 hours 16 mins
Myrtle Beach,Syracuse,"1,280 km",12 hours 16 mins
Syracuse,Myrtle Beach,"1,283 km",12 hours 27 mins
Syracuse,Myrtle Beach,"1,283 km",12 hours 27 mins
Wilmington,New York,949 km,9 hours 2 mins
Wilmington,New York,949 km,9 hours 2 mins
New York,Wilmington,959 km,9 hours 6 mins
New York,Wilmington,959 km,9 hours 6 mins
Baltimore,Milwaukee,"1,275 km",12 hours 2 mins
Baltimore,Milwaukee,"1,275 km",12 hours 2 mins
Milwaukee,Baltimore,"1,277 km",12 hours 8 mins
Milwaukee,Baltimore,"1,277 km",12 hours 8 mins
Tampa,Austin,"1,841 km",16 hours 23 mins
Tampa,Austin,"1,841 km",16 hours 23 mins
Austin,Tampa,"1,841 km",16 hours 24 mins
Austin,Tampa,"1,841 km",16 hours 24 mins
Charleston,St. Louis,"1,379 km",12 hours 43 mins
Charleston,St. Louis,"1,379 km",12 hours 43 mins
St. Louis,Charleston,"1,379 km",12 hours 43 mins
St. Louis,Charleston,"1,379 km",12 hours 43 mins
Miami,Des Moines,"2,523 km",22 hours 52 mins
Miami,Des Moines,"2,523 km",22 hours 52 mins
Des Moines,Miami,"2,517 km",22 hours 54 mins
Des Moines,Miami,"2,517 km",22 hours 54 mins
Atlanta,New Orleans,757 km,6 hours 43 mins
Atlanta,New Orleans,757 km,6 hours 43 mins
New Orleans,Atlanta,755 km,6 hours 43 mins
New Orleans,Atlanta,755 km,6 hours 43 mins
Belleville,Las Vegas,"2,595 km",23 hours 16 mins
Belleville,Las Vegas,"2,595 km",23 hours 16 mins
Las Vegas,Belleville,"2,594 km",23 hours 10 mins
Las Vegas,Belleville,"2,594 km",23 hours 10 mins
Dallas,Pensacola,"1,041 km",9 hours 45 mins
Dallas,Pensacola,"1,041 km",9 hours 45 mins
Pensacola,Dallas,"1,049 km",9 hours 44 mins
Pensacola,Dallas,"1,049 km",9 hours 44 mins
Salt Lake City,Fresno,"1,309 km",11 hours 44 mins
Salt Lake City,Fresno,"1,309 km",11 hours 44 mins
Fresno,Salt Lake City,"1,309 km",11 hours 47 mins
Fresno,Salt Lake City,"1,309 km",11 hours 47 mins
Houston,San Diego,"2,366 km",20 hours 58 mins
Houston,San Diego,"2,366 km",20 hours 58 mins
San Diego,Houston,"2,365 km",21 hours 3 mins
San Diego,Houston,"2,365 km",21 hours 3 mins
Minneapolis,Baltimore,"1,795 km",16 hours 36 mins
Minneapolis,Baltimore,"1,795 km",16 hours 36 mins
Baltimore,Minneapolis,"1,785 km",16 hours 36 mins
Baltimore,Minneapolis,"1,785 km",16 hours 36 mins
Kansas City,Newark,"1,901 km",17 hours 52 mins
Kansas City,Newark,"1,901 km",17 hours 52 mins
Newark,Kansas City,"1,900 km",17 hours 48 mins
Newark,Kansas City,"1,900 km",17 hours 48 mins
Atlanta,Minneapolis,"1,821 km",16 hours 26 mins
Atlanta,Minneapolis,"1,821 km",16 hours 26 mins
Minneapolis,Atlanta,"1,814 km",16 hours 20 mins
Minneapolis,Atlanta,"1,814 km",16 hours 20 mins
Moline,Dallas,"1,316 km",13 hours 3 mins
Moline,Dallas,"1,316 km",13 hours 3 mins
Dallas,Moline,"1,316 km",13 hours 4 mins
Dallas,Moline,"1,316 km",13 hours 4 mins
Phoenix,Des Moines,"2,249 km",21 hours 16 mins
Phoenix,Des Moines,"2,249 km",21 hours 16 mins
Des Moines,Phoenix,"2,252 km",21 hours 20 mins
Des Moines,Phoenix,"2,252 km",21 hours 20 mins
Scranton,Newark,179 km,1 hour 51 mins
Scranton,Newark,179 km,1 hour 51 mins
Newark,Scranton,179 km,1 hour 56 mins
Newark,Scranton,179 km,1 hour 56 mins
Houston,Punta Gorda,"1,732 km",15 hours 16 mins
Houston,Punta Gorda,"1,732 km",15 hours 16 mins
Punta Gorda,Houston,"1,733 km",15 hours 15 mins
Punta Gorda,Houston,"1,733 km",15 hours 15 mins
Gulfport,Charlotte,"1,037 km",9 hours 30 mins
Gulfport,Charlotte,"1,037 km",9 hours 30 mins
Charlotte,Gulfport,"1,036 km",9 hours 31 mins
Charlotte,Gulfport,"1,036 km",9 hours 31 mins
Raleigh,Dallas,"1,919 km",17 hours 22 mins
Raleigh,Dallas,"1,919 km",17 hours 22 mins
Dallas,Raleigh,"1,910 km",17 hours 23 mins
Dallas,Raleigh,"1,910 km",17 hours 23 mins
Kansas City,Orlando,"1,994 km",17 hours 58 mins
Kansas City,Orlando,"1,994 km",17 hours 58 mins
Orlando,Kansas City,"1,993 km",17 hours 52 mins
Orlando,Kansas City,"1,993 km",17 hours 52 mins
Tulsa,Phoenix,"1,714 km",15 hours 38 mins
Tulsa,Phoenix,"1,714 km",15 hours 38 mins
Phoenix,Tulsa,"1,714 km",15 hours 37 mins
Phoenix,Tulsa,"1,714 km",15 hours 37 mins
Tulsa,Houston,795 km,7 hours 26 mins
Tulsa,Houston,795 km,7 hours 26 mins
Houston,Tulsa,796 km,7 hours 26 mins
Houston,Tulsa,796 km,7 hours 26 mins
Everett,San Francisco,"1,345 km",12 hours 56 mins
Everett,San Francisco,"1,345 km",12 hours 56 mins
San Francisco,Everett,"1,345 km",12 hours 54 mins
San Francisco,Everett,"1,345 km",12 hours 54 mins
Gainesville,Charlotte,729 km,6 hours 44 mins
Gainesville,Charlotte,729 km,6 hours 44 mins
Charlotte,Gainesville,727 km,6 hours 41 mins
Charlotte,Gainesville,727 km,6 hours 41 mins
Los Angeles,Denver,"1,635 km",14 hours 52 mins
Los Angeles,Denver,"1,635 km",14 hours 52 mins
Denver,Los Angeles,"1,636 km",14 hours 58 mins
Denver,Los Angeles,"1,636 km",14 hours 58 mins
Los Angeles,Reno,761 km,7 hours 59 mins
Los Angeles,Reno,761 km,7 hours 59 mins
Reno,Los Angeles,831 km,7 hours 58 mins
Reno,Los Angeles,831 km,7 hours 58 mins
Knoxville,Denver,"2,145 km",19 hours 11 mins
Knoxville,Denver,"2,145 km",19 hours 11 mins
Denver,Knoxville,"2,149 km",19 hours 11 mins
Denver,Knoxville,"2,149 km",19 hours 11 mins
Boston,Washington,709 km,7 hours 12 mins
Boston,Washington,709 km,7 hours 12 mins
Washington,Boston,704 km,7 hours 12 mins
Washington,Boston,704 km,7 hours 12 mins
Ithaca,Philadelphia,369 km,3 hours 52 mins
Ithaca,Philadelphia,369 km,3 hours 52 mins
Philadelphia,Ithaca,369 km,3 hours 54 mins
Philadelphia,Ithaca,369 km,3 hours 54 mins
Denver,Oakland,"2,004 km",18 hours 23 mins
Denver,Oakland,"2,004 km",18 hours 23 mins
Oakland,Denver,"2,006 km",18 hours 19 mins
Oakland,Denver,"2,006 km",18 hours 19 mins
Bangor,Newark,729 km,7 hours 5 mins
Bangor,Newark,729 km,7 hours 5 mins
Newark,Bangor,726 km,7 hours 3 mins
Newark,Bangor,726 km,7 hours 3 mins
Minneapolis,Jacksonville,"2,370 km",21 hours 14 mins
Minneapolis,Jacksonville,"2,370 km",21 hours 14 mins
Jacksonville,Minneapolis,"2,377 km",21 hours 20 mins
Jacksonville,Minneapolis,"2,377 km",21 hours 20 mins
Panama City,Chicago,"1,488 km",14 hours 25 mins
Panama City,Chicago,"1,488 km",14 hours 25 mins
Chicago,Panama City,"1,492 km",14 hours 23 mins
Chicago,Panama City,"1,492 km",14 hours 23 mins
Washington,Cleveland,592 km,5 hours 55 mins
Washington,Cleveland,592 km,5 hours 55 mins
Cleveland,Washington,593 km,6 hours 7 mins
Cleveland,Washington,593 km,6 hours 7 mins
Myrtle Beach,Fort Lauderdale,"1,102 km",10 hours 4 mins
Myrtle Beach,Fort Lauderdale,"1,102 km",10 hours 4 mins
Fort Lauderdale,Myrtle Beach,"1,099 km",10 hours 3 mins
Fort Lauderdale,Myrtle Beach,"1,099 km",10 hours 3 mins
Charleston,Cincinnati,"1,000 km",9 hours 23 mins
Charleston,Cincinnati,"1,000 km",9 hours 23 mins
Cincinnati,Charleston,"1,000 km",9 hours 20 mins
Cincinnati,Charleston,"1,000 km",9 hours 20 mins
Nashville,Austin,"1,383 km",12 hours 33 mins
Nashville,Austin,"1,383 km",12 hours 33 mins
Austin,Nashville,"1,382 km",12 hours 31 mins
Austin,Nashville,"1,382 km",12 hours 31 mins
Las Vegas,Minneapolis,"2,667 km",23 hours 37 mins
Las Vegas,Minneapolis,"2,667 km",23 hours 37 mins
Minneapolis,Las Vegas,"2,669 km",23 hours 40 mins
Minneapolis,Las Vegas,"2,669 km",23 hours 40 mins
Pensacola,Dallas,"1,049 km",9 hours 44 mins
Pensacola,Dallas,"1,049 km",9 hours 44 mins
Dallas,Pensacola,"1,041 km",9 hours 45 mins
Dallas,Pensacola,"1,041 km",9 hours 45 mins
New Orleans,Houston,560 km,5 hours 12 mins
New Orleans,Houston,560 km,5 hours 12 mins
Houston,New Orleans,559 km,5 hours 10 mins
Houston,New Orleans,559 km,5 hours 10 mins
Fort Lauderdale,Kansas City,"2,319 km",20 hours 45 mins
Fort Lauderdale,Kansas City,"2,319 km",20 hours 45 mins
Kansas City,Fort Lauderdale,"2,317 km",20 hours 48 mins
Kansas City,Fort Lauderdale,"2,317 km",20 hours 48 mins
Charlotte,Akron,771 km,7 hours 16 mins
Charlotte,Akron,771 km,7 hours 16 mins
Akron,Charlotte,771 km,7 hours 13 mins
Akron,Charlotte,771 km,7 hours 13 mins
Tampa,Cleveland,"1,760 km",16 hours 15 mins
Tampa,Cleveland,"1,760 km",16 hours 15 mins
Cleveland,Tampa,"1,758 km",16 hours 12 mins
Cleveland,Tampa,"1,758 km",16 hours 12 mins
San Luis Obispo,Phoenix,907 km,8 hours 41 mins
San Luis Obispo,Phoenix,907 km,8 hours 41 mins
Phoenix,San Luis Obispo,905 km,8 hours 40 mins
Phoenix,San Luis Obispo,905 km,8 hours 40 mins
Washington,Montgomery,"1,287 km",11 hours 52 mins
Washington,Montgomery,"1,287 km",11 hours 52 mins
Montgomery,Washington,"1,286 km",11 hours 54 mins
Montgomery,Washington,"1,286 km",11 hours 54 mins
Chicago,El Paso,"2,393 km",21 hours 52 mins
Chicago,El Paso,"2,393 km",21 hours 52 mins
El Paso,Chicago,"2,390 km",21 hours 50 mins
El Paso,Chicago,"2,390 km",21 hours 50 mins
San Antonio,Tampa,"1,892 km",16 hours 50 mins
San Antonio,Tampa,"1,892 km",16 hours 50 mins
Tampa,San Antonio,"1,892 km",16 hours 48 mins
Tampa,San Antonio,"1,892 km",16 hours 48 mins
Atlantic City,Miami,"2,004 km",18 hours 7 mins
Atlantic City,Miami,"2,004 km",18 hours 7 mins
Miami,Atlantic City,"1,997 km",17 hours 59 mins
Miami,Atlantic City,"1,997 km",17 hours 59 mins
Oakland,Eugene,840 km,8 hours 3 mins
Oakland,Eugene,840 km,8 hours 3 mins
Eugene,Oakland,843 km,8 hours 4 mins
Eugene,Oakland,843 km,8 hours 4 mins
Newburgh,Tampa,"1,917 km",17 hours 42 mins
Newburgh,Tampa,"1,917 km",17 hours 42 mins
Tampa,Newburgh,"1,909 km",17 hours 36 mins
Tampa,Newburgh,"1,909 km",17 hours 36 mins
Grand Rapids,Tampa,"2,005 km",18 hours 14 mins
Grand Rapids,Tampa,"2,005 km",18 hours 14 mins
Tampa,Grand Rapids,"2,004 km",18 hours 13 mins
Tampa,Grand Rapids,"2,004 km",18 hours 13 mins
Chattanooga,Atlanta,190 km,1 hour 48 mins
Chattanooga,Atlanta,190 km,1 hour 48 mins
Atlanta,Chattanooga,190 km,1 hour 47 mins
Atlanta,Chattanooga,190 km,1 hour 47 mins
Detroit,Mosinee,894 km,8 hours 7 mins
Detroit,Mosinee,894 km,8 hours 7 mins
Mosinee,Detroit,892 km,8 hours 2 mins
Mosinee,Detroit,892 km,8 hours 2 mins
Bangor,Chicago,"1,949 km",17 hours 56 mins
Bangor,Chicago,"1,949 km",17 hours 56 mins
Chicago,Bangor,"1,947 km",17 hours 53 mins
Chicago,Bangor,"1,947 km",17 hours 53 mins
Philadelphia,Cleveland,694 km,6 hours 40 mins
Philadelphia,Cleveland,694 km,6 hours 40 mins
Cleveland,Philadelphia,693 km,6 hours 38 mins
Cleveland,Philadelphia,693 km,6 hours 38 mins
Hilton Head,Philadelphia,"1,142 km",10 hours 39 mins
Hilton Head,Philadelphia,"1,142 km",10 hours 39 mins
Philadelphia,Hilton Head,"1,149 km",10 hours 44 mins
Philadelphia,Hilton Head,"1,149 km",10 hours 44 mins
Salt Lake City,San Jose,"1,237 km",11 hours 20 mins
Salt Lake City,San Jose,"1,237 km",11 hours 20 mins
San Jose,Salt Lake City,"1,236 km",11 hours 16 mins
San Jose,Salt Lake City,"1,236 km",11 hours 16 mins
Midland,Las Vegas,"1,573 km",14 hours 18 mins
Midland,Las Vegas,"1,573 km",14 hours 18 mins
Las Vegas,Midland,"1,573 km",14 hours 20 mins
Las Vegas,Midland,"1,573 km",14 hours 20 mins
Raleigh,Tampa,"1,048 km",9 hours 34 mins
Raleigh,Tampa,"1,048 km",9 hours 34 mins
Tampa,Raleigh,"1,046 km",9 hours 31 mins
Tampa,Raleigh,"1,046 km",9 hours 31 mins
Plattsburgh,Fort Lauderdale,"2,515 km",22 hours 40 mins
Plattsburgh,Fort Lauderdale,"2,515 km",22 hours 40 mins
Fort Lauderdale,Plattsburgh,"2,504 km",22 hours 33 mins
Fort Lauderdale,Plattsburgh,"2,504 km",22 hours 33 mins
San Jose,Las Vegas,849 km,8 hours 5 mins
San Jose,Las Vegas,849 km,8 hours 5 mins
Las Vegas,San Jose,847 km,8 hours 4 mins
Las Vegas,San Jose,847 km,8 hours 4 mins
Dallas,Boise,"2,592 km",23 hours 37 mins
Dallas,Boise,"2,592 km",23 hours 37 mins
Boise,Dallas,"2,561 km",23 hours 36 mins
Boise,Dallas,"2,561 km",23 hours 36 mins
Traverse City,New York,"1,372 km",12 hours 57 mins
Traverse City,New York,"1,372 km",12 hours 57 mins
New York,Traverse City,"1,372 km",12 hours 57 mins
New York,Traverse City,"1,372 km",12 hours 57 mins
Charleston,Cincinnati,"1,000 km",9 hours 23 mins
Charleston,Cincinnati,"1,000 km",9 hours 23 mins
Cincinnati,Charleston,"1,000 km",9 hours 20 mins
Cincinnati,Charleston,"1,000 km",9 hours 20 mins
Cincinnati,Norfolk,974 km,9 hours 33 mins
Cincinnati,Norfolk,974 km,9 hours 33 mins
Norfolk,Cincinnati,976 km,9 hours 32 mins
Norfolk,Cincinnati,976 km,9 hours 32 mins
New York,Charlottesville,550 km,5 hours 46 mins
New York,Charlottesville,550 km,5 hours 46 mins
Charlottesville,New York,549 km,5 hours 46 mins
Charlottesville,New York,549 km,5 hours 46 mins
Washington,Traverse City,"1,221 km",11 hours 36 mins
Washington,Traverse City,"1,221 km",11 hours 36 mins
Traverse City,Washington,"1,221 km",11 hours 50 mins
Traverse City,Washington,"1,221 km",11 hours 50 mins
Pensacola,Kansas City,"1,447 km",14 hours 0 mins
Pensacola,Kansas City,"1,447 km",14 hours 0 mins
Kansas City,Pensacola,"1,433 km",14 hours 4 mins
Kansas City,Pensacola,"1,433 km",14 hours 4 mins
Los Angeles,Colorado Springs,"1,742 km",15 hours 46 mins
Los Angeles,Colorado Springs,"1,742 km",15 hours 46 mins
Colorado Springs,Los Angeles,"1,744 km",15 hours 51 mins
Colorado Springs,Los Angeles,"1,744 km",15 hours 51 mins
Savannah,Indianapolis,"1,240 km",11 hours 30 mins
Savannah,Indianapolis,"1,240 km",11 hours 30 mins
Indianapolis,Savannah,"1,242 km",11 hours 31 mins
Indianapolis,Savannah,"1,242 km",11 hours 31 mins
Orlando,Columbus,"1,524 km",14 hours 0 mins
Orlando,Columbus,"1,524 km",14 hours 0 mins
Columbus,Orlando,"1,526 km",14 hours 6 mins
Columbus,Orlando,"1,526 km",14 hours 6 mins
Punta Gorda,Appleton,"2,363 km",21 hours 19 mins
Punta Gorda,Appleton,"2,363 km",21 hours 19 mins
Appleton,Punta Gorda,"2,360 km",21 hours 18 mins
Appleton,Punta Gorda,"2,360 km",21 hours 18 mins
Rochester,Fort Lauderdale,"2,285 km",20 hours 51 mins
Rochester,Fort Lauderdale,"2,285 km",20 hours 51 mins
Fort Lauderdale,Rochester,"2,276 km",20 hours 40 mins
Fort Lauderdale,Rochester,"2,276 km",20 hours 40 mins
Omaha,Las Vegas,"2,067 km",18 hours 19 mins
Omaha,Las Vegas,"2,067 km",18 hours 19 mins
Las Vegas,Omaha,"2,065 km",18 hours 14 mins
Las Vegas,Omaha,"2,065 km",18 hours 14 mins
Cincinnati,Houston,"1,688 km",15 hours 49 mins
Cincinnati,Houston,"1,688 km",15 hours 49 mins
Houston,Dallas,385 km,3 hours 27 mins
Houston,Dallas,385 km,3 hours 27 mins
Dallas,Cincinnati,"1,501 km",13 hours 40 mins
Dallas,Cincinnati,"1,501 km",13 hours 40 mins
Sioux Falls,Gainesville,"2,405 km",21 hours 45 mins
Sioux Falls,Gainesville,"2,405 km",21 hours 45 mins
Gainesville,Orlando,181 km,1 hour 46 mins
Gainesville,Orlando,181 km,1 hour 46 mins
Orlando,Sioux Falls,"2,576 km",23 hours 2 mins
Orlando,Sioux Falls,"2,576 km",23 hours 2 mins
San Antonio,San Diego,"2,052 km",18 hours 10 mins
San Antonio,San Diego,"2,052 km",18 hours 10 mins
San Diego,Los Angeles,194 km,2 hours 0 mins
San Diego,Los Angeles,194 km,2 hours 0 mins
Los Angeles,San Antonio,"2,175 km",19 hours 28 mins
Los Angeles,San Antonio,"2,175 km",19 hours 28 mins
Providence,Wilmington,"1,247 km",11 hours 59 mins
Providence,Wilmington,"1,247 km",11 hours 59 mins
Wilmington,Fayetteville,149 km,1 hour 43 mins
Wilmington,Fayetteville,149 km,1 hour 43 mins
Fayetteville,Providence,"1,163 km",11 hours 10 mins
Fayetteville,Providence,"1,163 km",11 hours 10 mins
San Diego,Los Angeles,194 km,2 hours 0 mins
San Diego,Los Angeles,194 km,2 hours 0 mins
Amarillo,Dallas,589 km,5 hours 30 mins
Amarillo,Dallas,589 km,5 hours 30 mins
Dallas,Houston,385 km,3 hours 29 mins
Dallas,Houston,385 km,3 hours 29 mins
Houston,Amarillo,965 km,8 hours 50 mins
Houston,Amarillo,965 km,8 hours 50 mins
Sioux Falls,Phoenix,"2,279 km",21 hours 58 mins
Sioux Falls,Phoenix,"2,279 km",21 hours 58 mins
Phoenix,Flagstaff,232 km,2 hours 15 mins
Phoenix,Flagstaff,232 km,2 hours 15 mins
Flagstaff,Sioux Falls,"2,086 km",19 hours 57 mins
Flagstaff,Sioux Falls,"2,086 km",19 hours 57 mins
Houston,San Antonio,317 km,2 hours 56 mins
Houston,San Antonio,317 km,2 hours 56 mins
Charlotte,Houston,"1,668 km",15 hours 8 mins
Charlotte,Houston,"1,668 km",15 hours 8 mins
Houston,Dallas,385 km,3 hours 27 mins
Houston,Dallas,385 km,3 hours 27 mins
Dallas,Charlotte,"1,651 km",15 hours 2 mins
Dallas,Charlotte,"1,651 km",15 hours 2 mins
Tampa,Grand Rapids,"2,004 km",18 hours 13 mins
Tampa,Grand Rapids,"2,004 km",18 hours 13 mins
Grand Rapids,Detroit,253 km,2 hours 20 mins
Grand Rapids,Detroit,253 km,2 hours 20 mins
Detroit,Tampa,"1,896 km",17 hours 1 min
Detroit,Tampa,"1,896 km",17 hours 1 min
Dallas,Kansas City,818 km,7 hours 56 mins
Dallas,Kansas City,818 km,7 hours 56 mins
Kansas City,St. Louis,399 km,3 hours 42 mins
Kansas City,St. Louis,399 km,3 hours 42 mins
St. Louis,Dallas,"1,014 km",9 hours 44 mins
St. Louis,Dallas,"1,014 km",9 hours 44 mins
Trenton,Fort Myers,"1,922 km",17 hours 39 mins
Trenton,Fort Myers,"1,922 km",17 hours 39 mins
Fort Myers,Orlando,257 km,2 hours 59 mins
Fort Myers,Orlando,257 km,2 hours 59 mins
Orlando,Trenton,"1,634 km",14 hours 46 mins
Orlando,Trenton,"1,634 km",14 hours 46 mins
Louisville,Fort Myers,"1,598 km",14 hours 26 mins
Louisville,Fort Myers,"1,598 km",14 hours 26 mins
Fort Myers,Miami,252 km,2 hours 26 mins
Fort Myers,Miami,252 km,2 hours 26 mins
Miami,Louisville,"1,746 km",15 hours 38 mins
Miami,Louisville,"1,746 km",15 hours 38 mins
Great Falls,Seattle,"1,030 km",9 hours 45 mins
Great Falls,Seattle,"1,030 km",9 hours 45 mins
Seattle,Wenatchee,238 km,2 hours 33 mins
Seattle,Wenatchee,238 km,2 hours 33 mins
Wenatchee,Great Falls,854 km,8 hours 15 mins
Wenatchee,Great Falls,854 km,8 hours 15 mins
Bloomington,Augusta,"1,062 km",9 hours 52 mins
Bloomington,Augusta,"1,062 km",9 hours 52 mins
Augusta,Decatur,229 km,2 hours 19 mins
Augusta,Decatur,229 km,2 hours 19 mins
Decatur,Bloomington,837 km,7 hours 57 mins
Decatur,Bloomington,837 km,7 hours 57 mins
Huntsville,Fort Myers,"1,213 km",11 hours 26 mins
Huntsville,Fort Myers,"1,213 km",11 hours 26 mins
Fort Myers,Gainesville,399 km,3 hours 43 mins
Fort Myers,Gainesville,399 km,3 hours 43 mins
Gainesville,Huntsville,823 km,8 hours 3 mins
Gainesville,Huntsville,823 km,8 hours 3 mins
Dallas,Atlanta,"1,258 km",11 hours 18 mins
Dallas,Atlanta,"1,258 km",11 hours 18 mins
Atlanta,Valdosta,368 km,3 hours 20 mins
Atlanta,Valdosta,368 km,3 hours 20 mins
Valdosta,Dallas,"1,456 km",13 hours 32 mins
Valdosta,Dallas,"1,456 km",13 hours 32 mins
Pittsburgh,Philadelphia,490 km,4 hours 46 mins
Pittsburgh,Philadelphia,490 km,4 hours 46 mins
San Antonio,Moab,"1,736 km",16 hours 25 mins
San Antonio,Moab,"1,736 km",16 hours 25 mins
Moab,Salt Lake City,376 km,3 hours 43 mins
Moab,Salt Lake City,376 km,3 hours 43 mins
Salt Lake City,San Antonio,"2,117 km",20 hours 7 mins
Salt Lake City,San Antonio,"2,117 km",20 hours 7 mins
Newburgh,Tampa,"1,917 km",17 hours 42 mins
Newburgh,Tampa,"1,917 km",17 hours 42 mins
Tampa,Orlando,135 km,1 hour 21 mins
Tampa,Orlando,135 km,1 hour 21 mins
Orlando,Newburgh,"1,817 km",16 hours 31 mins
Orlando,Newburgh,"1,817 km",16 hours 31 mins
Denver,Madison,"1,551 km",14 hours 0 mins
Denver,Madison,"1,551 km",14 hours 0 mins
Madison,Milwaukee,128 km,1 hour 19 mins
Madison,Milwaukee,128 km,1 hour 19 mins
Milwaukee,Denver,"1,677 km",14 hours 54 mins
Milwaukee,Denver,"1,677 km",14 hours 54 mins
Moab,Denver,570 km,5 hours 23 mins
Moab,Denver,570 km,5 hours 23 mins
Denver,Gunnison,323 km,3 hours 39 mins
Denver,Gunnison,323 km,3 hours 39 mins
Gunnison,Moab,380 km,4 hours 1 min
Gunnison,Moab,380 km,4 hours 1 min
Newark,Lynchburg,639 km,6 hours 34 mins
Newark,Lynchburg,639 km,6 hours 34 mins
Lynchburg,Richmond,182 km,2 hours 7 mins
Lynchburg,Richmond,182 km,2 hours 7 mins
Richmond,Newark,526 km,5 hours 10 mins
Richmond,Newark,526 km,5 hours 10 mins
Richmond,Abilene,"2,345 km",21 hours 17 mins
Richmond,Abilene,"2,345 km",21 hours 17 mins
Abilene,Amarillo,446 km,4 hours 10 mins
Abilene,Amarillo,446 km,4 hours 10 mins
Amarillo,Richmond,"2,492 km",22 hours 21 mins
Amarillo,Richmond,"2,492 km",22 hours 21 mins
