NAME,price,room type,house_rules,minimum nights,maximum occupancy,review rate number,city
Canadian Room @ Columbia Uni.,611.0,Private room,No pets,1.0,2,2.0,Oklahoma City
Bohemian 2 Bedroom in the East Village,999.0,Entire home/apt,No pets & No parties & No smoking,6.0,6,2.0,Oklahoma City
1-Bedroom Apt Near Manhattan,199.0,Entire home/apt,No parties & No smoking,4.0,2,4.0,Oklahoma City
Delightful studio apartment.,335.0,Entire home/apt,No children under 10 & No pets,2.0,2,2.0,Oklahoma City
AWESOME CHARMING ROOM C WITH ROOF DECK ACCESS :),553.0,Private room,No children under 10,30.0,2,5.0,Oklahoma City
One private room in a brand new 2BR Penthouse!,105.0,Private room,No children under 10 & No pets,2.0,1,5.0,Oklahoma City
Entire 2nd Floor with Private Bath,1095.0,Private room,No smoking & No visitors & No children under 10,14.0,2,4.0,Medford
The Fountain House,178.0,Entire home/apt,No parties & No children under 10,2.0,3,5.0,Medford
Modern 1-Bed Near Central Park,694.0,Entire home/apt,No pets,30.0,2,2.0,Medford
Plant and Book lovers paradise in Hip Williamsburg,266.0,Entire home/apt,No pets,3.0,3,2.0,Medford
Private Room in quiet XL East Village apartment!,1169.0,Private room,No parties,1.0,2,5.0,Medford
The Home away from home!!!!,372.0,Entire home/apt,No pets & No visitors,3.0,3,2.0,Medford
☆ Home Away From Home <3 of NYC! ☆ 2BR ENTIRE HOME,885.0,Entire home/apt,No smoking & No parties,4.0,4,3.0,Medford
Private Room in Chelsea 3 BR,590.0,Private room,No children under 10 & No smoking,5.0,2,2.0,Medford
Private Room and most of apt in Upper West Side,752.0,Private room,No smoking & No parties,1.0,2,3.0,Medford
Private room in well furnished quintessential 2BR!,435.0,Private room,No pets & No visitors,2.0,2,4.0,Medford
Quite & Cozy High Raise Atmosphere,635.0,Private room,No visitors,1.0,1,5.0,Medford
Lovely Brooklyn Room near train stop,1022.0,Private room,No visitors,2.0,2,3.0,Medford
Versatile private room in Harlem/Hamilton Heights!,398.0,Private room,No pets & No visitors & No parties,4.0,1,5.0,New York
Beautiful and big 1BR sublet close by Central Park,983.0,Private room,No parties & No children under 10,5.0,2,5.0,New York
A Contemporary Homelike Stay in the Best of BK,228.0,Entire home/apt,No pets & No visitors & No children under 10,2.0,2,2.0,New York
Charming Bright Room in Bed Stuy Brownstone,1064.0,Private room,No visitors & No smoking & No pets,30.0,2,3.0,New York
Spacious Bedroom in Prime Brooklyn Location,782.0,Private room,No parties & No pets,3.0,1,4.0,New York
Cool Downtown Apartment in Great Location,997.0,Entire home/apt,No pets,4.0,7,4.0,New York
Modern Brooklyn oasis (PRIVATE ROOM),403.0,Private room,No children under 10,1.0,1,5.0,New York
Magical rowhouse and garden in Williamsburg,189.0,Entire home/apt,No parties,4.0,3,1.0,New York
Large Bed-Stuy Apartment,132.0,Entire home/apt,No visitors,6.0,2,4.0,New York
IN MINT CONDITION-1BR&TERRACE-E 44TH/UNITED NATION,297.0,Entire home/apt,No pets,30.0,2,4.0,New York
Spacious Private Access Near Trains M - L and J,800.0,Private room,No pets,2.0,1,4.0,New York
Sunny + Spacious Master Bedroom with Outdoor Deck,109.0,Private room,No pets,3.0,1,5.0,New York
✈ NYC/Travelers. New Private Access Room Bed Full,1158.0,Private room,No pets,2.0,1,5.0,New York
Bedroom (KING) & private bath - Brand New & Modern,60.0,Private room,No smoking & No children under 10 & No pets,1.0,1,1.0,Indianapolis
Studio apartment in NYC,1048.0,Entire home/apt,No smoking & No children under 10,3.0,2,1.0,Indianapolis
A great experience in a fashionable neighborhood,447.0,Private room,No visitors & No pets,4.0,1,3.0,Indianapolis
Large 1BR in the Heart of Hell's Kitchen!!,219.0,Entire home/apt,No visitors,4.0,2,1.0,Indianapolis
Spacious and bright 1 bedroom apartment,523.0,Entire home/apt,No smoking,7.0,3,4.0,Indianapolis
"*Solo NY Explorer | Comfy, Quiet Space",439.0,Private room,No pets & No parties & No smoking,5.0,2,4.0,Indianapolis
Sun-Splashed Midtown 3BED Penthouse LOFT,155.0,Entire home/apt,No children under 10 & No visitors,6.0,2,5.0,Indianapolis
Cozy place.,149.0,Private room,No children under 10 & No visitors & No smoking,1.0,2,3.0,Indianapolis
"Chic, Spacious Loft + Backyard",441.0,Entire home/apt,No visitors & No parties,2.0,3,4.0,Indianapolis
Private room in super location in lower Manhattan,621.0,Private room,No pets & No smoking & No parties,14.0,1,5.0,Indianapolis
An Amazing Creative Loft,703.0,Private room,No smoking,2.0,1,3.0,Indianapolis
Carroll Gardens Modern Sunny Loft,860.0,Entire home/apt,No pets & No children under 10 & No parties,3.0,2,1.0,Indianapolis
A serene apartment to rejuvenate yourself.,503.0,Entire home/apt,No smoking & No pets & No parties,2.0,4,2.0,Indianapolis
Spacious Studio ( W 48 street ),222.0,Entire home/apt,No smoking & No pets,30.0,3,2.0,Indianapolis
Lovely studio near Grand Central /You will love it,430.0,Entire home/apt,No pets,30.0,3,5.0,Indianapolis
Modern 1BR in Sutton Place by Sonder,384.0,Entire home/apt,No children under 10 & No smoking,29.0,2,3.0,Ogdensburg
1 lovely bedroom in the heart of Midtown Manhattan,227.0,Private room,No visitors,6.0,1,4.0,Ogdensburg
New Spacious 1BD w/ Private Bathroom Chinatown/LES,548.0,Private room,No smoking & No visitors,1.0,2,3.0,Ogdensburg
Modern studio in Harlem,638.0,Entire home/apt,No smoking,5.0,3,4.0,Ogdensburg
Ground Floor Retreat near BKLYN Children’s Museum,472.0,Entire home/apt,No children under 10,3.0,2,3.0,Ogdensburg
Super Large & Cozy One Bedroom Apartment,656.0,Entire home/apt,No parties,2.0,3,5.0,Ogdensburg
2bdrm apt w/private backyard in Artsy Bushwick,883.0,Entire home/apt,No parties & No children under 10,2.0,3,1.0,Ogdensburg
Sunny Private Rm in Bushwick,284.0,Private room,No visitors,2.0,1,4.0,Ogdensburg
private bedroom and private bath,754.0,Private room,No parties,1.0,2,4.0,Ogdensburg
Spacious Private Bedroom in Hip Bushwick,1198.0,Private room,No smoking & No parties,25.0,2,1.0,Ogdensburg
Large Room in Garden Apartment,954.0,Private room,No smoking & No pets & No children under 10,3.0,2,2.0,Ogdensburg
Cozy and Unique Warehouse Apartment,285.0,Entire home/apt,No parties,3.0,3,2.0,Ogdensburg
The Artist Retreat Duplex and Garden 1,450.0,Entire home/apt,No parties & No pets,2.0,3,5.0,Ogdensburg
"1BR, elevator, kitchen, doorman!",475.0,Entire home/apt,No parties,1.0,3,2.0,Dallas
"Luxury Williamsburg duplex, private roof terrace",241.0,Entire home/apt,No visitors,4.0,3,5.0,Dallas
Take it now you won't find better,609.0,Entire home/apt,No pets,1.0,4,2.0,Dallas
E. W'burg Private Room near subway,272.0,Private room,No visitors & No smoking,15.0,2,2.0,Dallas
Cozy&Central:EmpireState/Highline/Times Square,628.0,Entire home/apt,No visitors & No pets & No smoking,3.0,4,3.0,Dallas
*Fresh Budget Room,262.0,Private room,No visitors & No smoking,2.0,1,4.0,Dallas
Chic Union Square One Bedroom,1096.0,Entire home/apt,No visitors,3.0,5,5.0,Dallas
Bright and modern apartment in Williamsburg!,865.0,Entire home/apt,No smoking,6.0,5,4.0,Dallas
Jackson Heights 2 bedrooms housing,747.0,Entire home/apt,No parties & No children under 10 & No smoking,2.0,2,3.0,Dallas
Exclusive Modern Penthouse Apartment,483.0,Entire home/apt,No pets & No visitors,1.0,3,3.0,Dallas
"SUNNY, SAFE and FRIENDLY minutes to Manhattan!",559.0,Entire home/apt,No pets,2.0,4,2.0,Dallas
Sunny Brooklyn room,227.0,Private room,No pets,7.0,2,3.0,Dallas
Charming Suite in Historic Home,348.0,Entire home/apt,No parties & No children under 10,1.0,3,3.0,Dallas
2 Bedroom Apt in downtown Brooklyn,1180.0,Entire home/apt,No visitors & No children under 10 & No parties,4.0,5,2.0,Dallas
Quite & Cozy High Raise Atmosphere,635.0,Private room,No smoking,1.0,1,5.0,Dallas
Upper east side duplex,819.0,Entire home/apt,No pets,3.0,7,2.0,Dallas
Central Park west. Big Cozy Room,709.0,Private room,No pets,1.0,2,4.0,Dallas
Huge Private Room Near Prospect Park,73.0,Private room,No parties & No pets,7.0,2,2.0,Dallas
Private room close to the center of Williamburg,231.0,Private room,No visitors & No children under 10,1.0,1,2.0,Dallas
Spacious cozy apartment,314.0,Entire home/apt,No children under 10,2.0,3,1.0,Dallas
Charming Garden Apartment in Brooklyn Brownstone,434.0,Entire home/apt,No visitors,2.0,2,3.0,Dallas
Friendly hosts,806.0,Private room,No smoking,1.0,2,4.0,Dallas
Minutes from JFK airport and famous mall,711.0,Private room,No visitors & No parties,2.0,2,3.0,Dallas
Bedroom (KING) & private bath - Brand New & Modern,60.0,Private room,No smoking & No children under 10 & No pets,1.0,1,1.0,Indianapolis
Studio apartment in NYC,1048.0,Entire home/apt,No smoking & No children under 10,3.0,2,1.0,Indianapolis
A great experience in a fashionable neighborhood,447.0,Private room,No visitors & No pets,4.0,1,3.0,Indianapolis
Large 1BR in the Heart of Hell's Kitchen!!,219.0,Entire home/apt,No visitors,4.0,2,1.0,Indianapolis
Spacious and bright 1 bedroom apartment,523.0,Entire home/apt,No smoking,7.0,3,4.0,Indianapolis
"*Solo NY Explorer | Comfy, Quiet Space",439.0,Private room,No pets & No parties & No smoking,5.0,2,4.0,Indianapolis
Sun-Splashed Midtown 3BED Penthouse LOFT,155.0,Entire home/apt,No children under 10 & No visitors,6.0,2,5.0,Indianapolis
Cozy place.,149.0,Private room,No children under 10 & No visitors & No smoking,1.0,2,3.0,Indianapolis
"Chic, Spacious Loft + Backyard",441.0,Entire home/apt,No visitors & No parties,2.0,3,4.0,Indianapolis
Private room in super location in lower Manhattan,621.0,Private room,No pets & No smoking & No parties,14.0,1,5.0,Indianapolis
An Amazing Creative Loft,703.0,Private room,No smoking,2.0,1,3.0,Indianapolis
Carroll Gardens Modern Sunny Loft,860.0,Entire home/apt,No pets & No children under 10 & No parties,3.0,2,1.0,Indianapolis
A serene apartment to rejuvenate yourself.,503.0,Entire home/apt,No smoking & No pets & No parties,2.0,4,2.0,Indianapolis
Spacious Studio ( W 48 street ),222.0,Entire home/apt,No smoking & No pets,30.0,3,2.0,Indianapolis
Lovely studio near Grand Central /You will love it,430.0,Entire home/apt,No pets,30.0,3,5.0,Indianapolis
Midtown East 2 Bed/2 Bath Elevator Building Apt,540.0,Entire home/apt,No pets,7.0,4,3.0,Los Angeles
Sunny apartment with easy connections to anywhere.,968.0,Private room,No children under 10,3.0,1,4.0,Los Angeles
"Upper West Side, Manhattan, NY",1083.0,Entire home/apt,No parties & No visitors,6.0,10,1.0,Los Angeles
"Room in Queens, NY, near LGA.",982.0,Private room,No children under 10,1.0,2,2.0,Los Angeles
Best Nest.,371.0,Private room,No pets,1.0,2,4.0,Los Angeles
Cozy Harlem Home,987.0,Private room,No smoking & No parties,1.0,2,2.0,Los Angeles
Enormous Private Room in Shared Apartment,198.0,Private room,No pets & No children under 10,5.0,1,3.0,Los Angeles
Cosy room in a sunny Brooklyn flat,678.0,Private room,No smoking,3.0,1,3.0,Los Angeles
Private Room with Private Bath Upper East Side,359.0,Private room,No children under 10,1.0,2,4.0,Los Angeles
Spacious Luxury Studio-96th and WEA,820.0,Entire home/apt,No parties & No pets,4.0,8,2.0,Los Angeles
Luxury building studio,1076.0,Entire home/apt,No parties & No children under 10,2.0,2,1.0,Los Angeles
Lovely studio,117.0,Entire home/apt,No visitors,1.0,3,4.0,Los Angeles
Spacious Room in Large 2 Bedroom Prewar Apartment,585.0,Private room,No parties & No visitors,1.0,2,4.0,San Diego
Big room near Prospect Park! NY!,752.0,Private room,No parties & No smoking & No pets,7.0,1,2.0,San Diego
"Luxury 4BR Home, Spacious & Central to Trains",392.0,Entire home/apt,No parties,3.0,3,5.0,San Diego
Cozy 1.5BD in Parkslope Brooklyn,1093.0,Entire home/apt,No parties,3.0,10,2.0,San Diego
Spacious & Homey Williamsburg 1BR Apartment,1004.0,Entire home/apt,No parties,5.0,4,3.0,San Diego
Upper East Side 1 Bedroom Gem,692.0,Shared room,No children under 10 & No parties & No smoking,2.0,1,3.0,San Diego
Organic Oasis Duplex (EMF-free),1186.0,Entire home/apt,No visitors & No smoking,60.0,4,4.0,San Diego
Harlem Garden Oasis in  New York City Brownstone,368.0,Entire home/apt,No visitors,31.0,3,5.0,San Diego
Conveniently located 2 BR Time Square Apartment,502.0,Entire home/apt,No parties & No smoking & No children under 10,2.0,4,5.0,San Diego
LargeBedroom gem in historic Red Hook Brooklyn!,787.0,Private room,No visitors,4.0,2,3.0,San Diego
The Perfect Upper East Side Apartment,847.0,Entire home/apt,No visitors,1.0,2,3.0,San Diego
CHIC EVENT SPACE,1068.0,Entire home/apt,No visitors,1.0,2,5.0,San Diego
"Spacious 1 Bedroom in Midwood, BK!",1125.0,Private room,No children under 10,1.0,1,1.0,Milwaukee
Affordable bedroom in the East Village!,184.0,Private room,No parties,2.0,2,5.0,Milwaukee
Consider it home,892.0,Entire home/apt,No children under 10 & No pets,26.0,3,3.0,Milwaukee
Delightful & Roomy 1 Bdrm Apt,911.0,Entire home/apt,No pets & No smoking & No children under 10,1.0,9,1.0,Milwaukee
Sunny and Bright 1BR Factory Loft,146.0,Entire home/apt,No smoking & No visitors,30.0,2,1.0,Milwaukee
"Spacious Charming NYC Apt, 10 min to Midtown",928.0,Entire home/apt,No smoking,10.0,7,3.0,Milwaukee
"Cozy, spacious Studio located on Upper East Side",756.0,Entire home/apt,No visitors,3.0,2,3.0,San Francisco
Gorgeous Park Slope Studio,641.0,Entire home/apt,No smoking & No parties,14.0,5,4.0,San Francisco
Room in Down town Brooklyn Parkslop,79.0,Private room,No visitors,1.0,2,1.0,San Francisco
spacious pretty east harlem apt.,470.0,Entire home/apt,No parties & No pets,1.0,3,3.0,San Francisco
"Comfortable,3 bedroom, 2bath home away from home",926.0,Entire home/apt,No children under 10,2.0,5,3.0,San Francisco
Perfect Luxury Studio in DUMBO,247.0,Entire home/apt,No smoking & No parties,2.0,3,1.0,San Francisco
Spacious 1 bedroom in Woodlawn NYC,163.0,Entire home/apt,No children under 10,2.0,2,2.0,San Francisco
Great 1 Bedroom on Upper East,484.0,Entire home/apt,No parties,2.0,2,1.0,San Francisco
Perfect Location! Your Oasis in Heart of Chelsea,432.0,Private room,No smoking & No parties & No pets,3.0,2,2.0,San Francisco
Bright & Quiet Minutes from Washington Square Park,936.0,Entire home/apt,No children under 10,7.0,8,5.0,San Francisco
"Cozy room, easy trip to Manhattan & North Brooklyn",651.0,Private room,No smoking & No children under 10 & No pets,1.0,1,3.0,San Francisco
Cozy and sunny Studio,154.0,Entire home/apt,No visitors & No children under 10 & No pets,5.0,2,2.0,Plattsburgh
Gramercy Park Pied à Terre,246.0,Entire home/apt,No smoking,2.0,3,4.0,Plattsburgh
Central Park Loft,591.0,Entire home/apt,No pets & No children under 10 & No smoking,1.0,3,4.0,Plattsburgh
Crown Heights 1 Bedroom,450.0,Entire home/apt,No smoking,7.0,2,2.0,Plattsburgh
1 Bedroom in Upper East Side,58.0,Private room,No parties,100.0,1,5.0,Plattsburgh
Modern & Airy 1 Bedroom Apt in heart of Greenpoint,592.0,Entire home/apt,No children under 10 & No pets,2.0,4,5.0,Plattsburgh
Harlem cozy nights,457.0,Entire home/apt,No visitors,4.0,3,4.0,Denver
Studio Style Basement in Shared Apartment,498.0,Private room,No parties & No visitors,20.0,1,5.0,Denver
Bright room in Williamsburg loft,636.0,Private room,No pets & No smoking & No visitors,14.0,2,4.0,Denver
Room in Spacious Williamsburg Loft,934.0,Private room,No parties,21.0,2,4.0,Denver
GORGEOUS Newly-Renovated 2-BR Flat,731.0,Entire home/apt,No parties,30.0,6,5.0,Denver
Quaint & Charming 2BR + Futon,897.0,Private room,No children under 10,1.0,1,1.0,Denver
"Peaceful, beautiful home away ",414.0,Entire home/apt,No smoking & No visitors & No parties,2.0,4,1.0,Denver
Big Sunny Bushwick Apartment,714.0,Entire home/apt,No pets & No visitors,4.0,3,2.0,Denver
*NO GUEST SERVICE FEE* Luxury Studio Suite w/ Free Continental Breakfast,390.0,Entire home/apt,No smoking & No visitors & No parties,3.0,2,2.0,Denver
1 BR in Carroll Gardens Townhouse,397.0,Private room,No visitors & No smoking,2.0,1,4.0,Phoenix
Cozy Room in East Harlem,779.0,Private room,No visitors,3.0,2,3.0,Phoenix
Lower East Side Oasis  (private room),487.0,Private room,No children under 10 & No visitors,2.0,2,2.0,Phoenix
"BEDSTUY BK - PAD
SHORT/ LONG TERM STAYS
NO EVENTS",1188.0,Entire home/apt,No smoking,1.0,10,2.0,Phoenix
"Bright, Williamsburg bedroom with private balcony",1021.0,Private room,No parties & No pets,2.0,2,2.0,Phoenix
Hudson Yard - Bright Double Double  Room,880.0,Private room,No pets & No visitors,1.0,2,5.0,Phoenix
"Murray Hill, The Heart of Manhattan",361.0,Private room,No smoking,3.0,1,4.0,Phoenix
"6 Guests! Close to JFK-Manhattan(30 min ""A"" train)",834.0,Entire home/apt,No pets & No parties,1.0,8,5.0,Phoenix
Large Sunny Room with Huge patio in Wburg,881.0,Private room,No parties,2.0,2,4.0,Phoenix
Twin Cabin with a Window One,234.0,Private room,No parties,1.0,1,2.0,Phoenix
"1,100 sq. ft. apt. Penthouse with private deck!",209.0,Entire home/apt,No visitors & No pets,1.0,3,5.0,Phoenix
Bright big bedroom in Brooklyn,894.0,Private room,No smoking,1.0,2,5.0,Phoenix
Pretty Williamsburg Loft,1181.0,Entire home/apt,No visitors,1.0,6,5.0,Phoenix
Brooklyn Home II,631.0,Private room,No visitors & No children under 10,1.0,2,2.0,Phoenix
TriBeCa Amazing River View Loft 3BR,1195.0,Entire home/apt,No parties,10.0,11,1.0,Phoenix
PRIME LOCATION CLEAN SOHO PRIVATE ROOM 2 BEDROOM,919.0,Private room,No smoking,1.0,2,4.0,Phoenix
Large Two Story Loft in the Heart of West Village,1127.0,Entire home/apt,No pets & No children under 10,3.0,5,4.0,Newark
Gramercy One Bedroom w Two Beds,485.0,Entire home/apt,No visitors & No children under 10,7.0,4,2.0,Newark
AMAZING TIME SQUARE!!BRICK WALLS!!,910.0,Entire home/apt,No children under 10 & No pets,30.0,3,1.0,Newark
"Huge, Bright, clean Bushwick blocks from train",814.0,Private room,No parties,20.0,1,4.0,Newark
Contemporary Brooklyn Lifestyle Apt /JFK Airport,610.0,Entire home/apt,No pets,2.0,6,2.0,Newark
Room 4 -Sunny Cozy Room in Historic Victorian Home,1196.0,Private room,No pets & No parties,2.0,1,4.0,Newark
Large room near Times Square 31C4,798.0,Private room,No smoking,7.0,1,3.0,Newark
Up to 4 people-Only steps away from Times Square!!,1046.0,Private room,No visitors & No smoking,1.0,2,2.0,Newark
Rustic Modern Brooklyn Apartment,294.0,Entire home/apt,No pets,30.0,2,3.0,Newark
Sonder | Stock Exchange | Ideal 1BR + Kitchen,903.0,Entire home/apt,No pets,2.0,9,4.0,Newark
Sunny Cozy Room Located In Prime East Flatbush,432.0,Private room,No parties & No visitors,2.0,2,3.0,Newark
